Product Title,Product SKU,Product Information,Sales Per Case
CLEVER CANDY ASSORTED JAWBREAKERS WITH CANDY CENTER 1 INCH,"SKU
31228","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645312282


GTIN (case)
10694780201329


Pieces/LB
33


Country of Manufacture
Canada",
CLEVER CANDY ASSORTED JAWBREAKERS WITH CANDY CENTER 1.75 INCHES,"SKU
31226","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645312268


GTIN (case)
10694780201312


Pieces/LB
7


Country of Manufacture
Canada",
CLEVER CANDY ASSORTED MINI JAWBREAKERS,"SKU
29648","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
694780217064


GTIN (case)
10694780217061


Pieces/LB
1914


Country of Manufacture
Canada


Pallet Pattern
25 cases per layer, 6 layers. 150 total cases per pallet.",
CLEVER CANDY ASSORTED ROCK CANDY STICKS 0.6 OZ,"SKU
47303","More Information                    




More Information


Kosher
No


Brand
NASSAU CANDY


UPC
618645457440


GTIN (case)
00618645473037


Country of Manufacture
Hungary",
CLEVER CANDY ASSORTED SOUR FISH,"SKU
47061","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645470616


Country of Manufacture
United States


Pallet Pattern
20 cases per layer, 8 layers. 160 total cases per pallet.",
CLEVER CANDY BERRY BLUE SOUR ROLLED BELTS,"SKU
31322","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645313227


Pieces/LB
12


Country of Manufacture
Spain


Pallet Pattern
15 cases per layer, 14 layers. 210 total cases per pallet.",
CLEVER CANDY BESTIE BEARS 12 FLAVOR ASSORTED,"SKU
50013","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500139


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS GRAPE,"SKU
50002","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500023


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS GRAPEFRUIT,"SKU
50009","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500092


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS GREEN APPLE,"SKU
50010","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500108


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS ORANGE,"SKU
50003","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500030


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS PINEAPPLE,"SKU
50011","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500115


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS STRAWBERRY,"SKU
50004","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500047


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS WATERMELON,"SKU
50012","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500122


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BESTIE BEARS WILD CHERRY,"SKU
50005","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645500054


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BIG BEAR POP GIANT GUMMY 8 OZ,"SKU
49247","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645492472


UPC (inner)
618645992477


GTIN (case)
10618645492479


Country of Manufacture
China",
CLEVER CANDY BITTY BESTIE BEARS 4 OZ PEG BAG,"SKU
50821","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645508210


Country of Manufacture
United States


Pallet Pattern
18 cases per layer, 9 layers. 162 total cases per pallet.",
CLEVER CANDY BLACK & RED BERRIES 5 LB,"SKU
49797","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645497972


Country of Manufacture
Brazil


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
CLEVER CANDY BLACK GUMBALLS TUTTI FRUTTI FLAVORED 850 CT,"SKU
50660","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645506605


Country of Manufacture
China",
CLEVER CANDY BLACK WRAPPED ROCK CANDY STICKS 0.6 OZ,"SKU
45746","More Information                    




More Information


Kosher
No


Brand
NASSAU CANDY


UPC
618645457464


GTIN (case)
10618645457461


Country of Manufacture
Hungary",
CLEVER CANDY BLUE MITTEN FOIL 3 OZ,"SKU
51851","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Christmas


UPC
618645518516


GTIN (case)
10618645518513


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 16 layers. 192 total cases per pallet.",
CLEVER CANDY BLUE RAZZ PUFFY PUFFS,"SKU
30033","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645300333


Pieces/LB
75


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY BOLD BESTIE BEARS 4 OZ PEG BAG,"SKU
50501","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645505011


Country of Manufacture
United States


Pallet Pattern
18 cases per layer, 9 layers. 162 total cases per pallet.",
CLEVER CANDY BOOM SHAKA LATKE MILK CHOCOLATE CRUSHED POTATO CHIPS 1.75 OZ BAR,"SKU
51866","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Christmas


UPC
618645518660


UPC (inner)
618645918668


GTIN (case)
10618645518667


Country of Manufacture
United States


Pallet Pattern
39 cases per layer, 5 layers. 195 total cases per pallet.",
CLEVER CANDY BRIGHT PINK GUMBALLS BUBBLE GUM FLAVORED 850 CT,"SKU
50655","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645506551


Country of Manufacture
China",
CLEVER CANDY BRIGHT PINK WRAPPED ROCK CANDY STICKS 0.6 OZ,"SKU
45758","More Information                    




More Information


Kosher
No


Brand
NASSAU CANDY


UPC
618645457587


GTIN (case)
10618645457584


Country of Manufacture
Hungary",
CLEVER CANDY BUBBLE GUM FLAVOR GUMMY BOTTLES,"SKU
30457","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645304577


Pieces/LB
69


Country of Manufacture
Spain


Pallet Pattern
12 cases per layer, 6 layers. 72 total cases per pallet.",
CLEVER CANDY BUBBLY CHAMPAGNE GUMMY FUN BEARS,"SKU
35125","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645351250


Pieces/LB
130


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY CARIBBEAN BLUE BLUEBERRY WRAPPED ROCK CANDY STICKS 0.6 OZ,"SKU
45752","More Information                    




More Information


Kosher
No


Brand
NASSAU CANDY


UPC
618645457525


GTIN (case)
10618645457522


Country of Manufacture
Hungary",
CLEVER CANDY CARIBBEAN BLUE GUMBALLS BLUEBERRY FLAVORED 850 CT,"SKU
50662","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645506629


Country of Manufacture
China",
CLEVER CANDY CARROT PATCH GUMMY CARROTS 2 OZ BAG,"SKU
34696","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


Occasion
Easter


UPC
618645346966


UPC (inner)
618645946968


Country of Manufacture
United States",
CLEVER CANDY COLOSSAL UNWRAPPED JAWBREAKER 3 INCHES,"SKU
13980","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
090780300353


GTIN (case)
10694780300350


Country of Manufacture
Canada


Pallet Pattern
29 cases per layer, 5 layers. 145 total cases per pallet.",
CLEVER CANDY COLOSSAL WRAPPED WHITE PSYCHEDELIC JAWBREAKER 3.38 INCHES,"SKU
16301","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645163013


GTIN (case)
10694780300381


Pieces/LB
1


Country of Manufacture
Canada


Pallet Pattern
25 cases per layer, 8 layers. 200 total cases per pallet.",
CLEVER CANDY CONFETTI DROPS,"SKU
47818","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645478186


Country of Manufacture
Brazil


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
CLEVER CANDY COSMIC BUMPY JAWBREAKERS,"SKU
35566","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645355661


Country of Manufacture
Canada


Pallet Pattern
6 cases per layer, 25 layers. 150 total cases per pallet.",
CLEVER CANDY CREEP ON CREEPIN' ON 4 OZ,"SKU
51515","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645515157


Pallet Pattern
12 cases per layer, 9 layers. 108 total cases per pallet.",
CLEVER CANDY CREEPY CRUNCH 1.75 OZ BAR,"SKU
48996","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645489960


UPC (inner)
618645989965


Country of Manufacture
United States


Pallet Pattern
48 cases per layer, 13 layers. 624 total cases per pallet.",
CLEVER CANDY DAY OF THE DEAD 1.75 OZ BAR,"SKU
48999","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645489991


UPC (inner)
618645989996


Country of Manufacture
United States


Pallet Pattern
25 cases per layer, 12 layers. 300 total cases per pallet.",
CLEVER CANDY DAY OF THE DEAD SKULLS & BONES 4 OZ,"SKU
51514","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645515140


Pallet Pattern
12 cases per layer, 9 layers. 108 total cases per pallet.",
CLEVER CANDY DAY OF THE DEAD SUGAR FREE PEPPERMINT MINTS 2 OZ TIN,"SKU
49000","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645490003


UPC (inner)
618645990008


Country of Manufacture
United States


Pallet Pattern
20 cases per layer, 10 layers. 200 total cases per pallet.",
CLEVER CANDY DELISH GREEN APPLE GUMMY FUN BEARS,"SKU
35122","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645351229


Pieces/LB
130


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
